recipe_id,resource_id,amount
emergency_rough_planks,logs,3
emergency_stone_blocks,stone,3
emergency_tools,rough_planks,2
emergency_tools,stone_blocks,1
expedition_rations,grain,1
expedition_rations,vegetables,1
expedition_rations,water,1
travel_bread,flour,1
travel_bread,water,1
expedition_handcraft,rough_planks,2
expedition_handcraft,stone_blocks,1
saw_planks,logs,2
saw_beams,logs,3
cut_stone_blocks,stone,2
crush_gravel,stone,2
fire_bricks,clay,2
fire_bricks,charcoal,1
burn_charcoal,logs,3
smelt_iron,iron_ore,2
smelt_iron,charcoal,1
smelt_copper,copper_ore,2
smelt_copper,charcoal,1
mill_flour,grain,2
cook_rations,flour,1
cook_rations,vegetables,1
cook_rations,water,1
weave_cloth,plant_fiber,2
tan_leather,hides,2
tan_leather,water,1
forge_tools,iron_ingot,1
forge_tools,planks,1
make_wooden_fittings,planks,2
forge_iron_plate,iron_ingot,2
forge_gear,iron_ingot,1
make_rope,plant_fiber,2
craft_kit,tools,1
craft_kit,rough_planks,1
craft_kit,stone_blocks,1
agrarian_kit,grain,1
agrarian_kit,vegetables,1
agrarian_kit,tools,1
fire_glass,sand,2
fire_glass,charcoal,1
make_lubricant,resin,1
make_lubricant,plant_fiber,1
make_handcart,planks,3
make_handcart,iron_ingot,1
make_handcart,wooden_fittings,2
make_wagon,beams,4
make_wagon,iron_ingot,2
make_wagon,leather,2
make_wagon,cloth,1
make_wagon,wooden_fittings,3
raise_draft_animal,fodder,8
raise_draft_animal,water,6
produce_hides,fodder,3
produce_hides,water,2
make_bearing,iron_ingot,2
make_bearing,lubricant,1
make_spring,iron_ingot,2
make_mechanical_assembly,gear,2
make_mechanical_assembly,bearing,1
make_mechanical_assembly,iron_plate,1
mechanical_kit,gear,1
mechanical_kit,bearing,1
mechanical_kit,tools,1
mechanical_kit,glass,1
make_coke,coal,3
foundry_iron,iron_ore,3
foundry_iron,coke,1
foundry_copper,copper_ore,3
foundry_copper,coke,1
make_pipe,iron_plate,2
make_copper_wire,copper_ingot,1
make_valve,iron_ingot,1
make_valve,copper_ingot,1
make_valve,gear,1
make_pressure_gauge,copper_ingot,1
make_pressure_gauge,glass,1
make_pressure_gauge,spring,1
make_pump,pipe,2
make_pump,valve,2
make_pump,mechanical_assembly,1
make_boiler_section,iron_plate,4
make_boiler_section,pipe,2
make_boiler_section,valve,1
make_steam_engine,boiler_section,2
make_steam_engine,mechanical_assembly,2
make_steam_engine,pipe,2
boiler_steam,coal,1
boiler_steam,piped_water,2
steam_hammer_plate,iron_ingot,2
thermodynamic_kit,pressure_gauge,1
thermodynamic_kit,pipe,1
thermodynamic_kit,mechanical_assembly,1
thermodynamic_kit,glass,1
make_steel,iron_ingot,3
make_steel,coke,2
roll_steel_beam,steel,2
roll_rail,steel,2
make_bogie,steel,3
make_bogie,bearing,2
make_bogie,spring,2
make_locomotive,steam_engine,2
make_locomotive,bogie,2
make_locomotive,steel_beam,4
make_locomotive,mechanical_assembly,3
make_freight_car,bogie,2
make_freight_car,steel_beam,3
make_freight_car,iron_plate,4
make_steam_tractor,steam_engine,1
make_steam_tractor,steel_beam,2
make_steam_tractor,bogie,1
make_steam_tractor,mechanical_assembly,2
central_steam,coal,2
central_steam,piped_water,4
industrial_kit,steel,1
industrial_kit,rail,1
industrial_kit,steam_engine,1
industrial_kit,pressure_gauge,1
make_pressure_regulator,pressure_gauge,1
make_pressure_regulator,valve,2
make_pressure_regulator,spring,2
make_pressure_regulator,copper_wire,1
make_sorter,mechanical_assembly,2
make_sorter,pressure_regulator,1
make_sorter,steel,1
make_sorter,wooden_fittings,1
print_blueprint,cloth,1
print_blueprint,copper_wire,1
print_blueprint,mechanical_research_kit,1
assembly_steam_engine,boiler_section,2
assembly_steam_engine,mechanical_assembly,2
assembly_steam_engine,pipe,2
generate_mechanical_power,steam_pressure,2
generate_mechanical_power,lubricant,1
make_computing_module,etherite,1
make_computing_module,copper_wire,3
make_computing_module,gear,2
make_computing_module,pressure_regulator,1
make_automaton_joint,steel,2
make_automaton_joint,bearing,2
make_automaton_joint,spring,2
make_automaton_joint,mechanical_assembly,1
make_etheric_core,etherite,3
make_etheric_core,computing_module,2
make_etheric_core,pressure_regulator,2
etheric_kit,etherite,1
etheric_kit,computing_module,1
etheric_kit,pressure_gauge,1
make_automaton,automaton_joint,4
make_automaton,computing_module,2
make_automaton,etheric_core,1
make_automaton,steel_beam,2
make_airship_frame,steel_beam,6
make_airship_frame,cloth,8
make_airship_frame,rope,4
make_airship_frame,steam_engine,2
make_airship,airship_frame,1
make_airship,steam_engine,2
make_airship,etheric_core,1
make_airship,computing_module,1
make_megaproject_section,steel_beam,8
make_megaproject_section,boiler_section,4
make_megaproject_section,computing_module,2
make_megaproject_section,etheric_core,1
generate_pneumatic_signal,steam_pressure,1
generate_pneumatic_signal,computing_module,1
